pm2,pm10,tvoc,CO2,temp,humi,O_pm2,O_pm10,O_temp,O_humi,temp_diff,humi_diff
59,87,425,18,15,90,56,58,9,40,6,50
65,35,505,851,21,50,81,81,12,90,9,-40
59,12,806,996,27,20,53,41,21,80,6,-60
0,31,739,348,27,50,50,51,9,50,18,0
54,0,429,696,18,100,77,91,12,80,6,20
53,3,852,633,18,90,18,77,24,80,-6,10
72,66,62,615,12,30,28,20,6,50,6,-20
13,35,761,365,9,100,89,86,30,80,-21,20
35,16,77,659,21,20,99,74,30,50,-9,-30
31,90,304,157,15,10,70,66,21,50,-6,-40
40,52,765,791,15,90,96,14,30,50,-15,40
45,2,97,152,3,90,11,12,15,50,-12,40
93,7,356,111,21,100,79,15,9,30,12,70
53,62,666,171,3,50,52,65,30,90,-27,-40
81,89,38,449,12,10,4,99,3,50,9,-40
84,48,0,3,12,100,75,91,3,0,9,100
58,47,872,519,3,50,3,23,21,20,-18,30
16,73,293,936,9,30,68,79,15,80,-6,-50
89,92,486,797,18,100,23,31,6,30,12,70
6,63,688,881,24,100,99,48,6,30,18,70
91,98,999,999,24,50,81,41,27,20,-3,30
3,24,755,262,6,80,60,23,3,50,3,30
15,60,358,14,24,0,11,73,9,40,15,-40
58,11,345,703,18,30,38,50,21,40,-3,-10
50,32,836,208,24,0,80,72,3,40,21,-40
55,83,861,462,3,50,40,30,24,20,-21,30
56,76,738,759,30,70,13,70,15,30,15,40
100,43,942,294,30,10,78,71,12,90,18,-80
71,83,871,15,0,60,37,29,15,80,-15,-20
58,59,739,956,27,50,87,81,18,20,9,30
90,21,86,632,6,60,55,40,21,20,-15,40
8,50,908,733,21,60,91,0,27,80,-6,-20
48,33,109,792,24,60,95,5,21,10,3,50
38,94,655,48,15,60,9,89,15,50,0,10
70,87,56,946,6,60,8,15,0,20,6,40
42,68,674,550,18,70,33,75,15,100,3,-30
65,41,328,393,6,100,12,74,24,40,-18,60
63,10,35,371,24,0,26,1,9,30,15,-30
85,64,988,621,21,30,86,46,15,20,6,10
6,79,146,494,6,70,80,44,21,80,-15,-10
82,54,740,883,0,90,69,59,6,100,-6,-10
35,66,175,283,30,10,91,18,3,20,27,-10
98,43,868,236,21,20,74,16,24,10,-3,10
15,25,527,775,18,40,44,71,21,0,-3,40
78,9,677,637,12,60,56,98,9,50,3,10
90,76,729,860,15,70,83,70,27,100,-12,-30
63,35,473,28,12,100,97,14,6,40,6,60
59,24,606,585,12,70,92,75,27,90,-15,-20
9,57,593,151,24,90,87,25,12,10,12,80
2,77,740,619,3,10,28,24,12,70,-9,-60
100,49,370,578,6,60,87,52,9,30,-3,30
85,62,722,641,18,90,6,86,15,10,3,80
99,100,885,519,24,20,81,21,6,10,18,10
30,82,775,462,3,30,49,56,15,60,-12,-30
97,0,3,747,15,0,27,91,12,20,3,-20
69,46,239,764,6,80,42,56,12,90,-6,-10
52,52,598,553,24,10,82,25,9,50,15,-40
22,42,988,322,12,30,85,82,3,60,9,-30
55,49,760,835,6,90,66,37,15,80,-9,10
77,4,936,161,12,10,45,6,9,40,3,-30
10,57,971,872,6,60,42,0,15,70,-9,-10
74,86,614,632,21,40,68,22,27,90,-6,-50
13,81,991,213,12,100,88,60,12,80,0,20
75,45,673,942,18,10,25,45,6,30,12,-20
0,100,298,812,21,20,65,18,24,80,-3,-60
26,23,429,141,6,90,74,11,3,90,3,0
18,23,374,196,18,30,34,42,9,80,9,-50
100,1,635,516,27,70,53,46,6,50,21,20
65,72,892,427,15,90,28,16,6,90,9,0
76,41,497,798,15,40,46,55,27,60,-12,-20
23,66,165,888,30,30,7,2,27,50,3,-20
72,80,716,717,3,20,66,99,27,60,-24,-40
79,93,87,193,21,90,32,73,12,0,9,90
9,71,524,308,18,40,59,25,9,30,9,10
26,77,978,636,9,80,5,71,12,50,-3,30
18,27,951,91,9,40,18,8,27,60,-18,-20
47,49,580,544,21,10,39,49,15,30,6,-20
90,80,413,644,30,50,41,91,12,70,18,-20
37,3,544,637,12,20,34,54,30,90,-18,-70
58,82,775,29,27,70,33,39,3,10,24,60
77,96,180,429,9,30,96,61,9,80,0,-50
85,3,396,226,24,90,33,46,27,60,-3,30
83,58,543,734,21,90,14,91,21,0,0,90
84,19,782,578,21,30,66,31,27,50,-6,-20
35,18,401,285,15,80,18,91,24,10,-9,70
28,84,207,104,9,100,81,41,15,80,-6,20
62,46,919,230,6,20,91,22,30,20,-24,0
90,15,921,639,21,80,30,31,3,30,18,50
75,38,285,855,6,30,59,6,15,70,-9,-40
61,42,935,208,3,10,45,12,15,80,-12,-70
89,36,396,145,3,30,95,56,6,50,-3,-20
82,72,854,460,24,20,28,35,6,10,18,10
71,34,603,960,27,60,43,80,24,10,3,50
54,88,763,581,15,90,78,71,9,40,6,50
76,96,484,450,12,90,22,83,27,80,-15,10
30,28,573,281,24,90,37,43,6,80,18,10
54,68,123,203,18,80,13,26,9,70,9,10
23,67,321,891,3,0,43,6,3,30,0,-30
5,54,659,371,21,60,43,72,0,100,21,-40
17,100,643,746,3,10,15,89,30,80,-27,-70
